descripcion_modelo,descripcion_original,categoria,subcategoria,split,grupo_descripcion,texto_normalizado,es_aumentada
Comida para perro,Comida para perro,Alimentación,Alimento para mascotas,test,18fed308d19c,comida para perro,False
Comida para llevar,Comida para llevar,Alimentación,Comida rápida,train,3cd314b7d0e6,comida para llevar,False
cargo comida para llevar,Comida para llevar,Alimentación,Comida rápida,train,3cd314b7d0e6,cargo comida para llevar,True
comida para llevar mensual,Comida para llevar,Alimentación,Comida rápida,train,3cd314b7d0e6,comida para llevar mensual,True
Tienda de abarrotes,Tienda de abarrotes,Alimentación,Tiendas,train,bdcd4c77690c,tienda de abarrotes,False
cargo tienda de abarrotes,Tienda de abarrotes,Alimentación,Tiendas,train,bdcd4c77690c,cargo tienda de abarrotes,True
tienda de abarrotes mensual,Tienda de abarrotes,Alimentación,Tiendas,train,bdcd4c77690c,tienda de abarrotes mensual,True
Compra de pantalón,Compra de pantalón,Compras,Ropa,test,44309f9a0f40,compra de pantalon,False
Accesorios,Accesorios,Compras,Accesorios,validation,79df5bbe4543,accesorios,False
ropa en tienda,ropa en tienda,Compras,Ropa,validation,ef15f6501962,ropa en tienda,False
Abono a préstamo,Abono a préstamo,Deudas,Pago de préstamo,train,84fba572b4db,abono a prestamo,False
abono a prest,Abono a préstamo,Deudas,Pago de préstamo,train,84fba572b4db,abono a prest,True
cargo abono a préstamo,Abono a préstamo,Deudas,Pago de préstamo,train,84fba572b4db,cargo abono a prestamo,True
abono a préstamo mensual,Abono a préstamo,Deudas,Pago de préstamo,train,84fba572b4db,abono a prestamo mensual,True
pago de préstamo personal,pago de préstamo personal,Deudas,Pago de préstamo,test,a7101f16851b,pago de prestamo personal,False
nuevo crédito,nuevo crédito,Deudas,Nuevo crédito,train,ab555f6c9506,nuevo credito,False
nuevo cred,nuevo crédito,Deudas,Nuevo crédito,train,ab555f6c9506,nuevo cred,True
cargo nuevo crédito,nuevo crédito,Deudas,Nuevo crédito,train,ab555f6c9506,cargo nuevo credito,True
nuevo crédito mensual,nuevo crédito,Deudas,Nuevo crédito,train,ab555f6c9506,nuevo credito mensual,True
libros de estudio,libros de estudio,Educación,Material escolar,test,1c5cf03667b7,libros de estudio,False
Papelería,Papelería,Educación,Papelería,train,25d6432362f6,papeleria,False
cargo papelería,Papelería,Educación,Papelería,train,25d6432362f6,cargo papeleria,True
papelería mensual,Papelería,Educación,Papelería,train,25d6432362f6,papeleria mensual,True
Entrada a concierto,Entrada a concierto,Entretenimiento,Conciertos,train,180ef9163838,entrada a concierto,False
cargo entrada a concierto,Entrada a concierto,Entretenimiento,Conciertos,train,180ef9163838,cargo entrada a concierto,True
entrada a concierto mensual,Entrada a concierto,Entretenimiento,Conciertos,train,180ef9163838,entrada a concierto mensual,True
Entrada a museo,Entrada a museo,Entretenimiento,Museos,train,840607457ca1,entrada a museo,False
cargo entrada a museo,Entrada a museo,Entretenimiento,Museos,train,840607457ca1,cargo entrada a museo,True
entrada a museo mensual,Entrada a museo,Entretenimiento,Museos,train,840607457ca1,entrada a museo mensual,True
Evento deportivo,Evento deportivo,Entretenimiento,Deportes,train,848b964cabe6,evento deportivo,False
cargo evento deportivo,Evento deportivo,Entretenimiento,Deportes,train,848b964cabe6,cargo evento deportivo,True
evento deportivo mensual,Evento deportivo,Entretenimiento,Deportes,train,848b964cabe6,evento deportivo mensual,True
Depósito a fondo de ahorro,Depósito a fondo de ahorro,Finanzas,Ahorro,train,af35ec67818d,deposito a fondo de ahorro,False
cargo depósito a fondo de ahorro,Depósito a fondo de ahorro,Finanzas,Ahorro,train,af35ec67818d,cargo deposito a fondo de ahorro,True
depósito a fondo de ahorro mensual,Depósito a fondo de ahorro,Finanzas,Ahorro,train,af35ec67818d,deposito a fondo de ahorro mensual,True
transferencia a ahorro,transferencia a ahorro,Finanzas,Ahorro,train,ee1e79ebbae3,transferencia a ahorro,False
transf a ahorro,transferencia a ahorro,Finanzas,Ahorro,train,ee1e79ebbae3,transf a ahorro,True
cargo transferencia a ahorro,transferencia a ahorro,Finanzas,Ahorro,train,ee1e79ebbae3,cargo transferencia a ahorro,True
transferencia a ahorro mensual,transferencia a ahorro,Finanzas,Ahorro,train,ee1e79ebbae3,transferencia a ahorro mensual,True
donativo mensual,donativo mensual,Otros,Donaciones,validation,328cf1490bab,donativo mensual,False
gasto sin clasificar,gasto sin clasificar,Otros,Otros,train,e22aa22c534b,gasto sin clasificar,False
cargo gasto sin clasificar,gasto sin clasificar,Otros,Otros,train,e22aa22c534b,cargo gasto sin clasificar,True
gasto sin clasificar mensual,gasto sin clasificar,Otros,Otros,train,e22aa22c534b,gasto sin clasificar mensual,True
laboratorio clínico,laboratorio clínico,Salud,Laboratorios,train,09ff9890cd91,laboratorio clinico,False
cargo laboratorio clínico,laboratorio clínico,Salud,Laboratorios,train,09ff9890cd91,cargo laboratorio clinico,True
laboratorio clínico mensual,laboratorio clínico,Salud,Laboratorios,train,09ff9890cd91,laboratorio clinico mensual,True
Óptica,Óptica,Salud,Óptica,train,3abc9f5a4a70,optica,False
cargo óptica,Óptica,Salud,Óptica,train,3abc9f5a4a70,cargo optica,True
óptica mensual,Óptica,Salud,Óptica,train,3abc9f5a4a70,optica mensual,True
Medicinas,Medicinas,Salud,Medicinas,train,69c349704e03,medicinas,False
cargo medicinas,Medicinas,Salud,Medicinas,train,69c349704e03,cargo medicinas,True
medicinas mensual,Medicinas,Salud,Medicinas,train,69c349704e03,medicinas mensual,True
Televisión de paga,Televisión de paga,Servicios,TV de paga,train,07d73862dcc6,television de paga,False
cargo televisión de paga,Televisión de paga,Servicios,TV de paga,train,07d73862dcc6,cargo television de paga,True
televisión de paga mensual,Televisión de paga,Servicios,TV de paga,train,07d73862dcc6,television de paga mensual,True
servicio de televisión,servicio de televisión,Servicios,TV de paga,train,410d3807ecfd,servicio de television,False
serv de televisión,servicio de televisión,Servicios,TV de paga,train,410d3807ecfd,serv de television,True
cargo servicio de televisión,servicio de televisión,Servicios,TV de paga,train,410d3807ecfd,cargo servicio de television,True
servicio de televisión mensual,servicio de televisión,Servicios,TV de paga,train,410d3807ecfd,servicio de television mensual,True
Combustible,Combustible,Transporte,Combustible,train,12c106cc092d,combustible,False
cargo combustible,Combustible,Transporte,Combustible,train,12c106cc092d,cargo combustible,True
combustible mensual,Combustible,Transporte,Combustible,train,12c106cc092d,combustible mensual,True
Tren,Tren,Transporte,Tren,train,4d72c12d6aa1,tren,False
cargo tren,Tren,Transporte,Tren,train,4d72c12d6aa1,cargo tren,True
tren mensual,Tren,Transporte,Tren,train,4d72c12d6aa1,tren mensual,True
pasaje de camión,pasaje de camión,Transporte,Autobús,train,c3deaa4d112d,pasaje de camion,False
cargo pasaje de camión,pasaje de camión,Transporte,Autobús,train,c3deaa4d112d,cargo pasaje de camion,True
pasaje de camión mensual,pasaje de camión,Transporte,Autobús,train,c3deaa4d112d,pasaje de camion mensual,True
pago hipotecario,pago hipotecario,Vivienda,Hipoteca,train,2da9a422e1a0,pago hipotecario,False
pg hipotecario,pago hipotecario,Vivienda,Hipoteca,train,2da9a422e1a0,pg hipotecario,True
cargo pago hipotecario,pago hipotecario,Vivienda,Hipoteca,train,2da9a422e1a0,cargo pago hipotecario,True
pago hipotecario mensual,pago hipotecario,Vivienda,Hipoteca,train,2da9a422e1a0,pago hipotecario mensual,True
muebles para el hogar,muebles para el hogar,Vivienda,Muebles,train,9acabced744a,muebles para el hogar,False
cargo muebles para el hogar,muebles para el hogar,Vivienda,Muebles,train,9acabced744a,cargo muebles para el hogar,True
muebles para el hogar mensual,muebles para el hogar,Vivienda,Muebles,train,9acabced744a,muebles para el hogar mensual,True
Despensa,Despensa,Alimentación,Supermercado,test,1b32fa867fbb,despensa,False
Compra de víveres,Compra de víveres,Alimentación,Supermercado,train,36ba5b0bb443,compra de viveres,False
comp de víveres,Compra de víveres,Alimentación,Supermercado,train,36ba5b0bb443,comp de viveres,True
cargo compra de víveres,Compra de víveres,Alimentación,Supermercado,train,36ba5b0bb443,cargo compra de viveres,True
compra de víveres mensual,Compra de víveres,Alimentación,Supermercado,train,36ba5b0bb443,compra de viveres mensual,True
croquetas mascota,croquetas mascota,Alimentación,Alimento para mascotas,train,3c36031eb3e9,croquetas mascota,False
cargo croquetas mascota,croquetas mascota,Alimentación,Alimento para mascotas,train,3c36031eb3e9,cargo croquetas mascota,True
croquetas mascota mensual,croquetas mascota,Alimentación,Alimento para mascotas,train,3c36031eb3e9,croquetas mascota mensual,True
Compra de alimentos,Compra de alimentos,Alimentación,Supermercado,train,548820314234,compra de alimentos,False
comp de alimentos,Compra de alimentos,Alimentación,Supermercado,train,548820314234,comp de alimentos,True
